GCSs_coordinate	N3E	Score
3193	13.1724977902	6.990086
10714	6.85424549581	5.75094465
10761	5.82237497176	5.416764499999999
12677	11.7635225084	6.397188
15214	14.8137075506	3.3927707500000004
15215	25.4111915306	5.20208145
15226	11.3055488986	5.4276161
16628	8.1720273511	0.13586142000000007
17639	13.6958760028	2.8911692
18673	5.35445057272	1.1523565
20082	29.3887746532	6.77635625
20088	8.25572273945	-0.48521349999999996
20090	5.64013561479	1.5717871000000003
20095	47.6975163813	7.501506300000001
20104	5.10296160352	9.9664825
21540	5.63993645582	4.2073588
21891	6.09151317371	5.0234817
21918	7.17072131861	3.23502365
24492	6.6039893104	1.2584293999999998
24493	5.2670908388	1.8154827500000001
24560	23.8257926951	0.71736215
24662	6.72616162493	0.6617933500000001
24663	10.6156280242	6.64951115
24923	8.20752639686	2.6456075
24945	11.0279810688	3.1728635
24980	9.87292107764	4.5669067000000005
24981	12.8602827418	4.2266706
25478	6.41728290088	7.3513081499999995
25524	6.07909684901	3.14433045
25996	5.64964245375	4.25732985
26932	7.13461686497	2.9907684000000003
27158	7.64575896408	6.0882602
27486	7.39387790253	3.5284874
27581	6.56189770095	0.7225505000000001
27582	8.06560335491	4.566137299999999
27654	28.4088679498	4.6846149
27662	18.2691906269	2.3172830500000003
28415	8.29906540686	4.9589348
28416	6.83274781164	2.9265394799999997
29003	10.668654883	1.68938815
30069	9.35048835282	0.84543628525
31060	8.81192724246	0.7349432899999999
31245	40.1845570574	5.9451319
31535	6.89487672713	3.3653673
32885	8.19029757783	-1.6357092500000001
32890	10.3416285101	3.0393107
33085	8.34514173357	-4.91437065
33087	11.6946772397	2.9939534500000002
33088	16.5257396637	-1.01961376
33089	18.4747696411	4.9898885
33090	11.6271123546	-0.4852553500000001
33091	7.30636083327	-2.99425411
33092	8.63170328167	3.2478904
33093	6.26494364537	-0.5690476500000001
33109	16.5289355171	1.53923335
33503	6.166338495	7.8077135
33571	5.3816340584	6.7626550000000005
38247	11.7107846875	2.85296795
38445	8.1868067056	3.6838617499999997
38751	6.10973603426	1.152211615
39597	6.65174357489	3.35117215
41165	6.94833511113	2.04418465
42755	11.9021734862	2.9974931750000002
42756	13.5179311808	6.663821799999999
42757	6.48171341836	2.661765275
43537	13.4217631276	3.4919552000000005
43639	10.5265689887	6.6931715
43736	16.4083819947	5.41684075
44442	11.1510129958	5.55231075
44541	7.44178788505	3.569672
47759	7.44994881957	1.8398572
47760	37.8597308085	2.23340185
48093	6.57826730236	0.38486913
48095	10.7845787422	0.3691738
48097	8.76312439582	3.61364055
48098	6.57827265131	-0.7392310000000002
48244	9.80820551766	6.37196125
